,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
20,,176979194,1591063419393904640,2022-11-11 13:40:54+00:00,['1591063419393904640'],,1591063419393904640,,"#SeViene Micho tiene todo listo para el desafío más grande de su carrera y en Núñez ya lo esperan. Los detalles, en la nota #River #Demichelis #Gallardo #DT 
 https://t.co/7ILYYazFxd",River
21,,3816919516,1591063348975656960,2022-11-11 13:40:37+00:00,['1591063348975656960'],,1591063348975656960,,"#SeViene Micho tiene todo listo para el desafío más grande de su carrera y en Núñez ya lo esperan. Los detalles, en la nota #River #Demichelis #Gallardo #DT 
 https://t.co/dRvfe7CKWF",River
22,,15590302,1591063272551112705,2022-11-11 13:40:19+00:00,['1591063272551112705'],,1591063272551112705,,"Así quedó el césped del Monumental por los recitales: el plan de #River para recuperarlo ⚪🔴

En las redes sociales se viralizó una imagen del estado del campo de juego millonario tras la seguidilla de shows.
https://t.co/9gk2J3Gv5Q",River
23,,978471016589660161,1591063193761116161,2022-11-11 13:40:00+00:00,['1591063193761116161'],,1591063193761116161,,"#SeViene Micho tiene todo listo para el desafío más grande de su carrera y en Núñez ya lo esperan. Los detalles, en la nota #River #Demichelis #Gallardo #DT 
 https://t.co/WDTEdLhXIW",River
24,{'media_keys': ['13_1590476674155487232']},138257539,1591062506348609538,2022-11-11 13:37:16+00:00,['1591062506348609538'],,1591062506348609538,,"Aquí el primer gol de #River a #ColoColo en #ViñadelMar

https://t.co/nI6ZWreVhf

📺 La despedida de Gallardo, este domingo en #StarPlusLA",River
25,,1452730505787551750,1591061878171738112,2022-11-11 13:34:46+00:00,['1591061878171738112'],,1591061878171738112,,Russian Ministry of Defense: All Russian troops in the direction of Kherson have been transferred to the east bank of the Dnieper River - #ministry_of_defense #dnieper_river #dnieper #kherson #ukraine #river #bank #east https://t.co/Q5DG5j2raa,River
26,,172923723,1591061779328557059,2022-11-11 13:34:23+00:00,['1591061779328557059'],,1591061779328557059,,"¿SE QUEDA? 👹

Alex Vigo debería volver a #River, pero tiene posibilidades de seguir en #Independiente 🇦🇹 por la buena relación entre los dirigentes de ambos clubes.

¿Le renovarías al lateral derecho? 🤔

https://t.co/uH7eO7Pygn",River
27,"{'media_keys': ['3_1591061737167618048', '3_1591061748584521737']}",1361240051598962690,1591061763621261312,2022-11-11 13:34:19+00:00,['1591061763621261312'],,1591061763621261312,,"Le dije a mí novia q me hubiese encantado ir al último partido de Gallardo cómo DT. Adivinen que hizo? ❤️‍🩹 
#river #realbetis #gallardoeterno https://t.co/etbVrv9S0D",River
28,{'media_keys': ['7_1591061330395545601']},181293937,1591061354429153280,2022-11-11 13:32:42+00:00,['1591061354429153280'],,1591061354429153280,,"4 años atrás. 
¿Marcelo Gallardo ya sabía que #River iba a salir campeón?

¿Qué recuerdan de esa tarde? https://t.co/vWTT5wrl8C",River
29,{'media_keys': ['3_1591060224193994754']},4899696891,1591060229101232128,2022-11-11 13:28:13+00:00,['1591060229101232128'],,1591060229101232128,,"En la jeta de ellos, en su cancha, en la final más importante de la historia, un Oso, un grito inmortal, un silencio único, un relato bullyinezco, un día hermoso. Gracias Pratto por esta alegría eterna. Ay que alegría, vieja querida...#ModoOso #VamosRiver #River #GloriaEterna https://t.co/yFdoLZmTuI",River
30,{'media_keys': ['3_1591059340336709632']},1581004633023078405,1591059367482494979,2022-11-11 13:24:48+00:00,['1591059367482494979'],,1591059367482494979,,"🚨 #River | Se habla de que Demichelis quiere a Nacho Fernández, y al parecer el jugador quiere volver. Están las condiciones dadas, pero hay que negociar con el Atlético Mineiro.
ℹ️ @javigilnavarroespn
¿Te gustaría que vuelva Nacho? https://t.co/sQgfi2OINo",River
31,{'media_keys': ['3_1591058343946293250']},204552074,1591058356542013447,2022-11-11 13:20:47+00:00,['1591058356542013447'],,1591058356542013447,,"Los 25 futbolistas del #Betis convocados por Manuel Pellegrini para enfrentar a #River el domingo en #Mendoza, en el último partido de #Gallardo como técnico del equipo “millonario”. https://t.co/miiNAUaZ7I",River
32,"{'media_keys': ['3_1591058157559611392', '3_1591058160579579904']}",236226330,1591058162492534789,2022-11-11 13:20:01+00:00,['1591058162492534789'],,1591058162492534789,,"夕闇が迫る頃
#mysky #sky #sorasuki #ソラモノ写真館 #sunset #茜雲 #あかね雲 #川 #川面 #水鏡  #reflection #river https://t.co/sivqStybTx",River
